onset	duration	trial_type	cond
0.12	2.0	positive	cond001
7.12	2.0	negative	cond002
15.62	2.0	negative	cond002
22.12	2.0	positive	cond001
29.62	2.0	positive	cond001
36.12	2.0	positive	cond001
49.12	2.0	negative	cond002
57.12	2.0	positive	cond001
64.62	2.0	negative	cond002
76.12	2.0	negative	cond002
83.12	2.0	negative	cond002
94.62	2.0	positive	cond001
106.62	2.0	negative	cond002
115.62	2.0	positive	cond001
131.62	2.0	negative	cond002
144.12	2.0	negative	cond002
151.12	2.0	positive	cond001
159.62	2.0	negative	cond002
168.62	2.0	negative	cond002
176.12	2.0	negative	cond002
182.62	2.0	positive	cond001
197.12	2.0	negative	cond002
204.12	2.0	positive	cond001
216.12	2.0	negative	cond002
224.62	2.0	positive	cond001
232.12	2.0	negative	cond002
240.62	2.0	negative	cond002
247.12	2.0	negative	cond002
255.12	2.0	negative	cond002
261.62	2.0	positive	cond001
274.62	2.0	negative	cond002
282.12	2.0	negative	cond002
288.62	2.0	positive	cond001
300.62	2.0	negative	cond002
310.62	2.0	negative	cond002
321.62	2.0	negative	cond002
332.62	2.0	negative	cond002
339.62	2.0	negative	cond002
348.12	2.0	negative	cond002
362.12	2.0	positive	cond001
371.62	2.0	negative	cond002
379.62	2.0	positive	cond001
388.12	2.0	positive	cond001
399.12	2.0	negative	cond002
406.12	2.0	positive	cond001
420.62	2.0	negative	cond002
427.12	2.0	negative	cond002
441.62	2.0	positive	cond001
