onset	duration	trial_type	cond
0.12	2.0	positive	cond001
7.62	2.0	negative	cond002
14.62	2.0	positive	cond001
29.12	2.0	negative	cond002
35.62	2.0	negative	cond002
48.12	2.0	negative	cond002
65.62	2.0	negative	cond002
73.12	2.0	negative	cond002
84.12	2.0	negative	cond002
91.62	2.0	positive	cond001
99.62	2.0	positive	cond001
107.12	2.0	positive	cond001
113.62	2.0	positive	cond001
124.62	2.0	negative	cond002
141.12	2.0	positive	cond001
149.62	2.0	positive	cond001
159.12	2.0	positive	cond001
168.62	2.0	negative	cond002
175.62	2.0	negative	cond002
183.12	2.0	positive	cond001
189.62	2.0	positive	cond001
198.12	2.0	negative	cond002
209.62	2.0	positive	cond001
217.62	2.0	negative	cond002
224.62	2.0	positive	cond001
231.62	2.0	positive	cond001
238.12	2.0	positive	cond001
244.62	2.0	negative	cond002
251.12	2.0	positive	cond001
264.62	2.0	negative	cond002
271.12	2.0	negative	cond002
282.62	2.0	positive	cond001
289.12	2.0	negative	cond002
295.62	2.0	positive	cond001
305.12	2.0	negative	cond002
312.12	2.0	positive	cond001
320.62	2.0	negative	cond002
329.12	2.0	negative	cond002
336.62	2.0	negative	cond002
352.12	2.0	negative	cond002
370.62	2.0	negative	cond002
378.62	2.0	positive	cond001
385.12	2.0	negative	cond002
405.12	2.0	negative	cond002
413.62	2.0	positive	cond001
422.12	2.0	positive	cond001
430.12	2.0	negative	cond002
438.62	2.0	negative	cond002
