onset	duration	trial_type	cond
0.12	2.0	positive	cond001
6.62	2.0	negative	cond002
13.12	2.0	negative	cond002
19.62	2.0	positive	cond001
26.12	2.0	negative	cond002
37.12	2.0	negative	cond002
43.62	2.0	positive	cond001
59.12	2.0	positive	cond001
66.62	2.0	negative	cond002
74.62	2.0	positive	cond001
81.12	2.0	negative	cond002
93.62	2.0	negative	cond002
103.12	2.0	positive	cond001
111.12	2.0	positive	cond001
121.12	2.0	negative	cond002
132.62	2.0	positive	cond001
140.62	2.0	positive	cond001
153.12	2.0	negative	cond002
164.12	2.0	positive	cond001
171.12	2.0	negative	cond002
187.12	2.0	negative	cond002
195.62	2.0	positive	cond001
202.62	2.0	negative	cond002
215.62	2.0	negative	cond002
225.12	2.0	positive	cond001
233.12	2.0	negative	cond002
241.62	2.0	negative	cond002
248.12	2.0	negative	cond002
255.62	2.0	negative	cond002
262.12	2.0	negative	cond002
268.62	2.0	negative	cond002
275.12	2.0	negative	cond002
302.12	2.0	negative	cond002
315.12	2.0	negative	cond002
322.12	2.0	negative	cond002
332.62	2.0	negative	cond002
343.12	2.0	positive	cond001
351.12	2.0	negative	cond002
358.62	2.0	negative	cond002
374.12	2.0	positive	cond001
382.12	2.0	negative	cond002
389.62	2.0	negative	cond002
400.62	2.0	negative	cond002
407.62	2.0	positive	cond001
415.12	2.0	positive	cond001
422.12	2.0	negative	cond002
430.62	2.0	negative	cond002
443.12	2.0	positive	cond001
