onset	duration	trial_type	cond
0.12	2.0	positive	cond001
7.62	2.0	positive	cond001
14.62	2.0	positive	cond001
29.12	2.0	positive	cond001
35.62	2.0	positive	cond001
48.12	2.0	positive	cond001
65.62	2.0	negative	cond002
73.12	2.0	positive	cond001
84.12	2.0	negative	cond002
91.62	2.0	negative	cond002
99.62	2.0	negative	cond002
107.12	2.0	positive	cond001
113.62	2.0	positive	cond001
124.62	2.0	positive	cond001
141.12	2.0	positive	cond001
149.62	2.0	positive	cond001
159.12	2.0	positive	cond001
168.62	2.0	negative	cond002
175.62	2.0	positive	cond001
183.12	2.0	positive	cond001
189.62	2.0	positive	cond001
198.12	2.0	negative	cond002
209.62	2.0	negative	cond002
217.62	2.0	positive	cond001
224.62	2.0	negative	cond002
231.62	2.0	negative	cond002
238.12	2.0	positive	cond001
244.62	2.0	positive	cond001
251.12	2.0	negative	cond002
264.62	2.0	negative	cond002
271.12	2.0	positive	cond001
282.62	2.0	negative	cond002
289.12	2.0	positive	cond001
295.62	2.0	positive	cond001
305.12	2.0	negative	cond002
312.12	2.0	negative	cond002
320.62	2.0	positive	cond001
329.12	2.0	positive	cond001
336.62	2.0	negative	cond002
352.12	2.0	positive	cond001
370.62	2.0	positive	cond001
378.62	2.0	negative	cond002
385.12	2.0	positive	cond001
405.12	2.0	negative	cond002
413.62	2.0	negative	cond002
422.12	2.0	negative	cond002
430.12	2.0	positive	cond001
438.62	2.0	negative	cond002
