onset	duration	trial_type	cond
0.12	2.0	positive	cond001
7.62	2.0	positive	cond001
14.62	2.0	negative	cond002
29.12	2.0	positive	cond001
35.62	2.0	negative	cond002
48.12	2.0	negative	cond002
65.62	2.0	negative	cond002
73.12	2.0	positive	cond001
84.12	2.0	positive	cond001
91.62	2.0	positive	cond001
99.62	2.0	positive	cond001
107.12	2.0	negative	cond002
113.62	2.0	negative	cond002
124.62	2.0	negative	cond002
141.12	2.0	positive	cond001
149.62	2.0	negative	cond002
159.12	2.0	negative	cond002
168.62	2.0	negative	cond002
175.62	2.0	negative	cond002
183.12	2.0	negative	cond002
189.62	2.0	negative	cond002
198.12	2.0	positive	cond001
209.62	2.0	negative	cond002
217.62	2.0	positive	cond001
224.62	2.0	negative	cond002
231.62	2.0	positive	cond001
238.12	2.0	negative	cond002
244.62	2.0	positive	cond001
251.12	2.0	positive	cond001
264.62	2.0	positive	cond001
271.12	2.0	negative	cond002
282.62	2.0	positive	cond001
289.12	2.0	negative	cond002
295.62	2.0	negative	cond002
305.12	2.0	negative	cond002
312.12	2.0	positive	cond001
320.62	2.0	negative	cond002
329.12	2.0	positive	cond001
336.62	2.0	negative	cond002
352.12	2.0	negative	cond002
370.62	2.0	negative	cond002
378.62	2.0	negative	cond002
385.12	2.0	positive	cond001
405.12	2.0	negative	cond002
413.62	2.0	positive	cond001
422.12	2.0	positive	cond001
430.12	2.0	negative	cond002
438.62	2.0	negative	cond002
