onset	duration	trial_type	cond
0.12	2.0	negative	cond002
7.12	2.0	positive	cond001
17.12	2.0	positive	cond001
23.62	2.0	positive	cond001
31.12	2.0	negative	cond002
37.62	2.0	negative	cond002
49.12	2.0	positive	cond001
60.12	2.0	negative	cond002
71.12	2.0	positive	cond001
78.62	2.0	negative	cond002
102.62	2.0	negative	cond002
109.12	2.0	negative	cond002
117.12	2.0	positive	cond001
124.62	2.0	negative	cond002
131.12	2.0	negative	cond002
137.62	2.0	negative	cond002
150.62	2.0	negative	cond002
157.12	2.0	negative	cond002
168.62	2.0	positive	cond001
175.12	2.0	negative	cond002
183.12	2.0	positive	cond001
191.12	2.0	negative	cond002
197.62	2.0	positive	cond001
206.62	2.0	positive	cond001
226.12	2.0	negative	cond002
234.12	2.0	negative	cond002
240.62	2.0	positive	cond001
247.12	2.0	negative	cond002
256.12	2.0	negative	cond002
263.12	2.0	negative	cond002
277.12	2.0	negative	cond002
284.62	2.0	positive	cond001
292.12	2.0	negative	cond002
300.62	2.0	positive	cond001
309.62	2.0	positive	cond001
328.12	2.0	negative	cond002
337.62	2.0	negative	cond002
348.62	2.0	positive	cond001
355.62	2.0	negative	cond002
363.62	2.0	positive	cond001
378.62	2.0	positive	cond001
387.12	2.0	negative	cond002
399.62	2.0	positive	cond001
407.12	2.0	negative	cond002
415.12	2.0	positive	cond001
425.12	2.0	negative	cond002
432.12	2.0	positive	cond001
438.62	2.0	positive	cond001
