onset	duration	trial_type	cond
0.12	2.0	positive	cond001
6.62	2.0	negative	cond002
13.12	2.0	negative	cond002
19.62	2.0	negative	cond002
26.12	2.0	positive	cond001
37.12	2.0	positive	cond001
43.62	2.0	positive	cond001
59.12	2.0	positive	cond001
66.62	2.0	positive	cond001
74.62	2.0	negative	cond002
81.12	2.0	positive	cond001
93.62	2.0	positive	cond001
103.12	2.0	negative	cond002
111.12	2.0	positive	cond001
121.12	2.0	negative	cond002
132.62	2.0	negative	cond002
140.62	2.0	negative	cond002
153.12	2.0	positive	cond001
164.12	2.0	positive	cond001
171.12	2.0	positive	cond001
187.12	2.0	negative	cond002
195.62	2.0	negative	cond002
202.62	2.0	negative	cond002
215.62	2.0	negative	cond002
225.12	2.0	positive	cond001
233.12	2.0	positive	cond001
241.62	2.0	positive	cond001
248.12	2.0	negative	cond002
255.62	2.0	positive	cond001
262.12	2.0	positive	cond001
268.62	2.0	positive	cond001
275.12	2.0	positive	cond001
302.12	2.0	positive	cond001
315.12	2.0	positive	cond001
322.12	2.0	negative	cond002
332.62	2.0	positive	cond001
343.12	2.0	positive	cond001
351.12	2.0	positive	cond001
358.62	2.0	negative	cond002
374.12	2.0	negative	cond002
382.12	2.0	positive	cond001
389.62	2.0	positive	cond001
400.62	2.0	negative	cond002
407.62	2.0	negative	cond002
415.12	2.0	positive	cond001
422.12	2.0	negative	cond002
430.62	2.0	negative	cond002
443.12	2.0	negative	cond002
